ID,NOMBRE,DESCRIPCION,HORARIO,TELEFONO,TIPO,SUB_TIPO,LATITUD,LONGITUD,DIRECCION
6374,ATM: 352 Tadeo Haenke,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.381464385940312,-66.17621454820232,"Av. Melchor Perez N° 1250, Esq. Tadeo Haenke, Zona Sarco."
23,ATM: 155 Agencia El Cristo II,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7716194444,-63.1826611111,Av. Monseñor Rivero Esquina Fortín Arce (Agencia El Cristo)
9524,Kiosko de Autoservicio Ag. El Cristo,Kiosco de Autoservicio,Horario.NO,3 173000,Tipo.ATM,SubTipo.KIOSCO,-17.771618953414738,-63.18283807486294,Av. Monseñor Rivero esq. Fortín Arce
9475,Kiosko de Autoservicio Ag. El Cristo II,Kiosko de Autoservicio,Horario.NO,3173000,Tipo.ATM,SubTipo.KIOSCO,-17.771618953414738,-63.18283807486294,Av. Monseñor Rivero esq. Fortín Arce
3,AGENCIA EL CRISTO,Santa Cruz,Horario.NO,(591-3) 317-3000,Tipo.AGENCIA,SubTipo.AGENCIA_B,-17.771655849678815,-63.18273545585027,Av. Monseñor Rivero esq. Fortín Arce.
8828,ATM: 150 Agencia El Cristo I,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.767182944900103,-63.15654605253942,"Av. Monseñor Rivero, Esq. Calle Fortín Arce, Agencia El Cristo"
8830,ATM: 155 Ag El Cristo II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7718367,-63.1826202,"Av. Monseñor Rivero, Esq. Calle Fortín Arce, Agencia El Cristo"
7849,ATM: 172 Depositario Ag. San Miguel,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.54091173063929,-68.0804283913742,"Av. Montenegro N° 1223 Esquina Calle 18 Calacoto, Zona San Miguel."
9440,Kiosco de Autoservicio Ag. San Miguel,Kiosco de Autoservicio,Horario.NO,3 173000,Tipo.ATM,SubTipo.KIOSCO,-16.5408659778916,-68.0804121080537,Av. Montenegro N° 1223 esq. Calle 18 Calacoto
101,AGENCIA SAN MIGUEL,La Paz,Horario.NO,(591-2) 217-3000,Tipo.AGENCIA,SubTipo.AGENCIA_NORMAL,-16.540834665215854,-68.08043126603572,"Av. Montenegro N°1223 esq. Calle 18 Calacoto, Zona San Miguel."
8636,ATM: 566 Moscú 4to. Anillo,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8252829,-63.2015676,"Av. Moscú 4to. y 5to. Anillo, entre Calles 6 de Agosto y Pasillo Litoral."
7695,ATM: 493 Moscu 5to Anillo,Cajero Automático,Horario.SI,80010399,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.828182130967747,-63.2031320535242,"Av. Moscú N° 5058 y 5to. Anillo, Zona La Cuchilla, Frente al Surtidor Moragrande."
8038,ATM: 532 Hipermaxi Cambódromo,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7426794,-63.14452679999999,"Av. Mutualista, Esq. 6to. Anillo, Zona Cambódromo"
5625,ATM: 707 Cota Cota,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.540794481039672,-68.06295964836033,"Av. Muñoz Reyes N° 22, entre Calles La Merced y 24 de Septiembre, Zona Cota Cota."
8945,ATM: 225 Embol Sucre,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-19.557653,-65.73648299999999,"Av. Navarra, Zona ex Aeropuerto, Instalaciones de EMBOL Sucre"
6743,ATM: 523 Clínica Martin Dockweiler,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7669682,-63.1989251,"Av. Noel Kempff Mercado N° 705, 3er Anillo Interno, interior de la Clínica."
8562,ATM: 558 Paseo Boulevard,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7607622,-63.1879192,"Av. Noel Kempff Mercado, Esq. Radial 26, 3er. Anillo Interno, Paseo Blvd."
8544,ATM: 553 Saguapac El Palmar,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8612128,-63.1732202,"Av. Nuevo Palmar, Saguapac S.R.L."
5904,ATM: 342 Loreto,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.4213412404479,-66.1580394149551,"Av. Panamericana, Iglesia Maria Auxiliadora, Villa Loreto."
6378,ATM: 350 Panamericana,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.43324889316304,-66.16101117078212,"Av. Panamericana, s/n, Zona Lacma."
124,AGENCIA POMPEYA,Beni,Horario.NO,(591-3) 46-23777,Tipo.AGENCIA,SubTipo.AGENCIA_NORMAL,-14.840930153817661,-64.90411878017585,"Av. Pedro Ignacio Muiba esq. Calle Tarope, Zona Pompeya."
9448,Kiosko de Autoservicio Ag. Pompeya,Kiosko de Autoservicio,Horario.NO,3173000,Tipo.ATM,SubTipo.KIOSCO_S,-14.8409503756957,-64.9043504914077,"Av. Pedro Ignacio Muiba, esq. Calle Tarope, Zona Pompeya"
6035,ATM: 904 Ag. Pompeya,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-14.840930153817661,-64.90411878017585,"Av. Pedro Ignacio Muiba, esq. Calle Tarope, Zona Pompeya."
8290,Oficina Externa Loreto,Oficina Externa,,800103999,Tipo.AGENCIA,SubTipo.AGENCIA_D,-15.1947888,-64.7592135,"Av. Pedro Marbán, Municipio de Loreto."
3191,ATM: 420 Universidad Ucebol,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.730971994644193,-63.169391500518124,"Av. Perimetral entre 6to, Anillo y Calle Las Palmas, Km, 5 1/2, Carretera al Norte."
6177,ATM: 726 Teleférico Estación Central,Cajero Automático,Horario.NO,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.491319570301012,-68.14462540437927,"Av. Perú, Estación Central, Teleferico Rojo."
8371,ATM: 742 Terminal de Buses LP,Cajero Automático,Horario.NO,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.4886881,-68.14165559999999,"Av. Perú, Instalaciones de la Terminal de Buses La Paz"
7698,ATM: 496 Mercado Abasto,Cajero Automático,Horario.SI,80010399,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.7937179409647,-63.20346819111714,"Av. Piraí N° 527 casi 3er. Anillo, Zona Mercado Abasto."
8556,ATM: 556 Supermarket Piraí,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8131894,-63.23094279999999,"Av. Piraí, 6to. Anillo, Supermarket Mercagusto"
4311,ATM: 447 Auto Atm Av. Pirai,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_L,-17.792451018493114,-63.199242043049594,"Av. Piraí, Nº 350, esquina Calle Chituri, entre 2do y 3er anillo."
8109,ATM: 443 Av. Pirai,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.79232226272291,-63.19924236322937,"Av. Piraí, Nº 350, esquina Calle Chituri, entre 2do y 3er anillo."
